id	state_name	county_name	pop2014	bush_donors	bush_donations	carson_donors	carson_donations	christie_donors	christie_donations	clinton_donors	clinton_donations	cruz_donors	cruz_donations	fiorina_donors	fiorina_donations	graham_donors	graham_donations	huckabee_donors	huckabee_donations	jindal_donors	jindal_donations	kasich_donors	kasich_donations	omalley_donors	omalley_donations	pataki_donors	pataki_donations	paul_donors	paul_donations	rubio_donors	rubio_donations	sanders_donors	sanders_donations	santorum_donors	santorum_donations	trump_donors	trump_donations
5021	Arkansas	Clay County	15118	0	0	0	0	0	0	0	0	1	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5023	Arkansas	Cleburne County	25634	0	0	2	750	0	0	0	0	0	0	0	0	0	0	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5025	Arkansas	Cleveland County	8449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5027	Arkansas	Columbia County	23933	0	0	0	0	0	0	0	0	1	300	1	250	0	0	11	21050	0	0	0	0	0	0	0	0	1	237	0	0	0	0	0	0	0	0
5029	Arkansas	Conway County	21083	0	0	3	950	0	0	0	0	0	0	0	0	3	1250	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5031	Arkansas	Craighead County	102518	2	5200	5	1050	0	0	7	15369	1	500	0	0	0	0	15	8700	0	0	0	0	0	0	0	0	0	0	0	0	1	250	0	0	1	500
5033	Arkansas	Crawford County	61697	0	0	2	690	0	0	0	0	2	450	0	0	0	0	2	1100	0	0	0	0	0	0	0	0	0	0	0	0	4	1879	0	0	0	0
5035	Arkansas	Crittenden County	49548	0	0	0	0	0	0	3	3200	0	0	0	0	0	0	2	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5037	Arkansas	Cross County	17227	0	0	1	1000	0	0	0	0	0	0	0	0	0	0	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	2	1250	0	0	0	0
5039	Arkansas	Dallas County	7755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5041	Arkansas	Desha County	12264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5043	Arkansas	Drew County	18622	0	0	1	500	0	0	0	0	1	250	0	0	0	0	2	5400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5045	Arkansas	Faulkner County	120768	0	0	6	4900	0	0	6	3228	6	2200	0	0	0	0	35	39100	0	0	0	0	0	0	0	0	1	232	0	0	1	500	0	0	0	0
5047	Arkansas	Franklin County	17805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	902	0	0	0	0	0	0	1	250
5049	Arkansas	Fulton County	12125	0	0	0	0	0	0	3	2779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5051	Arkansas	Garland County	97322	1	250	4	2250	0	0	10	9050	7	4700	0	0	0	0	5	4750	0	0	0	0	0	0	0	0	2	462	5	3500	1	250	0	0	0	0
5053	Arkansas	Grant County	18144	0	0	0	0	0	0	3	5600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5055	Arkansas	Greene County	43694	1	250	2	750	0	0	2	2250	1	250	0	0	0	0	1	1000	0	0	0	0	0	0	0	0	1	200	0	0	1	250	0	0	0	0
5057	Arkansas	Hempstead County	22327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	34266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5059	Arkansas	Hot Spring County	33368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5061	Arkansas	Howard County	13500	0	0	0	0	0	0	1	500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5063	Arkansas	Independence County	36959	0	0	2	500	0	0	2	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5065	Arkansas	Izard County	13486	1	250	0	0	0	0	1	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	250	0	0	0	0
